,date,bitcoin,isPartial
0,2020-01-05,14,False
1,2020-01-12,14,False
2,2020-01-19,12,False
3,2020-01-26,13,False
4,2020-02-02,14,False
5,2020-02-09,17,False
6,2020-02-16,14,False
7,2020-02-23,15,False
8,2020-03-01,13,False
9,2020-03-08,24,False
10,2020-03-15,26,False
11,2020-03-22,19,False
12,2020-03-29,16,False
13,2020-04-05,16,False
14,2020-04-12,15,False
15,2020-04-19,16,False
16,2020-04-26,20,False
17,2020-05-03,23,False
18,2020-05-10,26,False
19,2020-05-17,17,False
20,2020-05-24,15,False
21,2020-05-31,16,False
22,2020-06-07,15,False
23,2020-06-14,14,False
24,2020-06-21,13,False
25,2020-06-28,13,False
26,2020-07-05,13,False
27,2020-07-12,14,False
28,2020-07-19,13,False
29,2020-07-26,21,False
30,2020-08-02,18,False
31,2020-08-09,17,False
32,2020-08-16,16,False
33,2020-08-23,15,False
34,2020-08-30,15,False
35,2020-09-06,14,False
36,2020-09-13,12,False
37,2020-09-20,11,False
38,2020-09-27,11,False
39,2020-10-04,11,False
40,2020-10-11,12,False
41,2020-10-18,16,False
42,2020-10-25,17,False
43,2020-11-01,19,False
44,2020-11-08,20,False
45,2020-11-15,28,False
46,2020-11-22,30,False
47,2020-11-29,27,False
48,2020-12-06,22,False
49,2020-12-13,34,False
50,2020-12-20,35,False
51,2020-12-27,53,False
52,2021-01-03,86,False
53,2021-01-10,81,False
54,2021-01-17,53,False
55,2021-01-24,48,False
56,2021-01-31,42,False
57,2021-02-07,75,False
58,2021-02-14,73,False
59,2021-02-21,80,False
60,2021-02-28,54,False
61,2021-03-07,50,False
62,2021-03-14,50,False
63,2021-03-21,47,False
64,2021-03-28,44,False
65,2021-04-04,41,False
66,2021-04-11,53,False
67,2021-04-18,67,False
68,2021-04-25,50,False
69,2021-05-02,44,False
70,2021-05-09,57,False
71,2021-05-16,100,False
72,2021-05-23,76,False
73,2021-05-30,50,False
74,2021-06-06,52,False
75,2021-06-13,40,False
76,2021-06-20,47,False
77,2021-06-27,35,False
78,2021-07-04,29,False
79,2021-07-11,29,False
80,2021-07-18,35,False
81,2021-07-25,38,False
82,2021-08-01,32,False
83,2021-08-08,37,False
84,2021-08-15,32,False
85,2021-08-22,32,False
86,2021-08-29,30,False
87,2021-09-05,38,False
88,2021-09-12,27,False
89,2021-09-19,34,False
90,2021-09-26,26,False
91,2021-10-03,33,False
92,2021-10-10,36,False
93,2021-10-17,46,False
94,2021-10-24,37,False
95,2021-10-31,31,False
96,2021-11-07,37,False
97,2021-11-14,37,False
98,2021-11-21,35,False
99,2021-11-28,36,False
100,2021-12-05,40,False
101,2021-12-12,36,False
102,2021-12-19,32,False
103,2021-12-26,31,False
104,2022-01-02,38,False
105,2022-01-09,38,False
106,2022-01-16,41,False
107,2022-01-23,52,False
108,2022-01-30,39,False
109,2022-02-06,37,False
110,2022-02-13,31,False
111,2022-02-20,42,False
112,2022-02-27,37,False
113,2022-03-06,32,False
114,2022-03-13,27,False
115,2022-03-20,29,False
116,2022-03-27,30,False
117,2022-04-03,26,False
118,2022-04-10,25,False
119,2022-04-17,23,False
120,2022-04-24,23,False
121,2022-05-01,24,False
122,2022-05-08,56,False
123,2022-05-15,37,False
124,2022-05-22,30,False
125,2022-05-29,27,False
126,2022-06-05,25,False
127,2022-06-12,67,False
128,2022-06-19,51,False
129,2022-06-26,37,False
130,2022-07-03,34,False
131,2022-07-10,31,False
132,2022-07-17,31,False
133,2022-07-24,26,False
134,2022-07-31,24,False
135,2022-08-07,23,False
136,2022-08-14,22,False
137,2022-08-21,22,False
138,2022-08-28,22,False
139,2022-09-04,19,True
